campaign fb,filename,persoanl fb,id
[],Alyse_Galvin.csv,https://www.facebook.com/alyse.s.galvin,alyse.s.galvin
['https://www.facebook.com/hynesfornevada03'],Randell_Hynes.csv,https://www.facebook.com/randy.hynes,randy.hynes
['https://www.facebook.com/drleovalentin/'],Leo_Valentin.csv,https://www.facebook.com/profile.php?id=100009088963295,100009088963295
['https://www.facebook.com/DoaneforColorado/'],Raymon_Doane.csv,https://www.facebook.com/raymon.doane,raymon.doane
[],Dean_Gandley.csv,https://www.facebook.com/dean.gandley,dean.gandley
['https://www.facebook.com/ReidfortheHouse/'],Reid_Rossell.csv,https://www.facebook.com/reid.rossell.9,reid.rossell.9
['https://www.facebook.com/glennforsenate'],Jo_Glenn.csv,https://www.facebook.com/people/Jo-Glenn/100009393158267,people/Jo-Glenn/100009393158267
[],William_Hibler.csv,https://www.facebook.com/profile.php?id=100012982934783,100012982934783
['https://www.facebook.com/giblin4congress'],Scott_Giblin.csv,https://www.facebook.com/scott.giblin.501,scott.giblin.501
['https://www.facebook.com/carolynforcongress'],Carolyn_Bourdeaux.csv,https://www.facebook.com/carolyn.bourdeaux,carolyn.bourdeaux
['https://www.facebook.com/CheckJohnnyTeague/'],Johnny_Teague.csv,https://www.facebook.com/johnny.teague,johnny.teague
['https://www.facebook.com/NicolasKimazFL/'],Nicolas_Kimaz.csv,https://www.facebook.com/nicolas.kimaz,nicolas.kimaz
[],Vivian_Childs.csv,https://www.facebook.com/vivian.childs.18,vivian.childs.18
[],Keeda_Haynes.csv,https://www.facebook.com/keeda.haynes,keeda.haynes
['https://www.facebook.com/brittanypettersenforcolorado'],Brittany_Pettersen.csv,https://www.facebook.com/brittany333,brittany333
['https://www.facebook.com/profile.php?id=100067168587123'],Brenda_Rodriguez.csv,https://www.facebook.com/brenda.laneyrodriguez,brenda.laneyrodriguez
['https://www.facebook.com/janicekforsenate/'],Chris_Janicek.csv,https://www.facebook.com/chris.janicek.5,chris.janicek.5
[],Scott_Angelle.csv,https://www.facebook.com/AngellePSC,AngellePSC
['https://www.facebook.com/nickopolce/'],Nick_Polce.csv,https://www.facebook.com/nickopolce,nickopolce
['https://www.facebook.com/profile.php?id=100069355923235'],Greg_Knott.csv,https://www.facebook.com/Greg.No.Bull.Knott,Greg.No.Bull.Knott
